gene_id	halflife	kdecay	constant	mse
ENSMUSG00000000001.4	8.06995023933622	0.0858923735590418	0.991630792829059	0.00338885323107548
ENSMUSG00000000028.15	2.91903901680539	0.237457319538856	1.06133350654618	0.0143147043687639
ENSMUSG00000000031.16	18.6213175226283	0.0372233156820211	0.964894036072961	0.00360151263934698
ENSMUSG00000000037.16	7.2872644369203	0.0951176105327226	0.982850391597985	0.00487863616133816
ENSMUSG00000000056.7	5.88714043663661	0.117739195798079	0.979136136716654	0.00437336599555536
ENSMUSG00000000078.7	1.3502214412751	0.513358149538317	0.966924898132266	0.0197538803545572
ENSMUSG00000000085.16	2.95309905165997	0.234718567997345	0.982249270273249	0.00155720567528322
ENSMUSG00000000088.7	23.7134103175152	0.0292301769875745	1.0511716659907	0.00738865033336749
ENSMUSG00000000120.6	3.81611341062916	0.181636944706438	0.964291173644083	0.00434361505008015
ENSMUSG00000000127.15	6.57460034574812	0.105428032748517	0.965973608006703	0.00817187608686013
ENSMUSG00000000131.15	3.34736453494766	0.207072511321443	1.00008191013045	0.00246606471408659
ENSMUSG00000000134.17	3.94373544262847	0.175759046377099	0.941900000994289	0.0103671325134858
ENSMUSG00000000142.15	0.81731596210298	0.848077380963484	0.996615953981971	0.00394639347164581
ENSMUSG00000000148.17	1.64503904015336	0.421356067327937	0.956649607434874	0.0169306957946088
ENSMUSG00000000149.10	5.16879738302751	0.134102215504905	0.979048614148797	0.00132805325731893
ENSMUSG00000000154.16	6.12362523103668	0.113192292867113	0.963694026200604	0.0100366468755581
ENSMUSG00000000168.9	8.28998101033825	0.0836126379174496	1.00064410517982	0.000354705078902914
ENSMUSG00000000171.5	12.8200237084441	0.0540675428005173	0.974440735827568	0.00841446176962431
ENSMUSG00000000184.12	6.70850930371839	0.103323577441526	0.977024946619083	0.00136027826532088
ENSMUSG00000000194.13	5.50887878209818	0.125823639977779	0.942637004250379	0.0174555049397435
ENSMUSG00000000223.13	4.93235438512694	0.140530693141204	0.908985612788341	0.0247279886583664
ENSMUSG00000000244.17	6.94311037707478	0.0998323723685316	0.901211440479256	0.0430787548081129
ENSMUSG00000000253.13	6.75600548289589	0.102597190353794	1.02529280729026	0.00925052150805185
ENSMUSG00000000275.16	3.13616679304629	0.221017320283103	1.00461058768998	0.00122620909734423
ENSMUSG00000000276.11	1.73136539702723	0.400347137438513	0.961449034075537	0.0213066721607514
ENSMUSG00000000278.10	10.5924775953979	0.0654376820075686	0.987648658170999	0.00123188656148969
ENSMUSG00000000282.12	1.6810250277727	0.412336026595833	0.964809237949723	0.0127767815868815
ENSMUSG00000000295.13	8.76511926765198	0.0790801767088364	1.00761490594614	0.00533453473894093
ENSMUSG00000000296.8	10.7464677335706	0.0645000010928842	0.968673482931402	0.00917790813278293
ENSMUSG00000000301.16	5.63479725031751	0.123011911479315	0.98398891321204	0.00503100105714118
ENSMUSG00000000303.12	7.38585171550712	0.0938479686919023	0.966807038142513	0.00242375141196271
ENSMUSG00000000305.12	5.25767376032287	0.131835334818754	0.926239418223906	0.0193671634884635
ENSMUSG00000000308.14	9.63932276645813	0.0719082862306347	0.94903649069092	0.00758247158201318
ENSMUSG00000000317.11	1.49257570920764	0.464396664292437	0.930284532116369	0.0508144519530916
ENSMUSG00000000320.10	7.21211908369276	0.0961086710461024	0.974950273778808	0.00443179025730125
ENSMUSG00000000325.16	5.95793511129322	0.116340169473496	0.970665194035942	0.00235436886597968
ENSMUSG00000000326.13	5.23574555851035	0.13238748384808	0.997082328747913	0.00145975575223895
ENSMUSG00000000339.14	8.27084066015309	0.0838061339882125	0.994690865483383	0.00114274835601718
ENSMUSG00000000340.10	9.2542775263701	0.0749001938384515	0.97435334192745	0.00686185806593589
ENSMUSG00000000346.9	2.81079118920645	0.246602160708934	1.02196067144281	0.00390597359078759
ENSMUSG00000000355.13	7.39465367006936	0.0937362602072267	0.984051886595375	0.00313572677239944
ENSMUSG00000000365.9	4.76649157369325	0.145420834138362	0.986158793045543	0.00428338401649968
ENSMUSG00000000374.8	3.9359302283969	0.176107588381277	1.00800519494213	0.00236006779660079
ENSMUSG00000000378.15	3.32091563394303	0.208721707192829	0.984184375256207	0.00284740914151407
ENSMUSG00000000384.15	4.1662762521624	0.166370912202518	0.937341596373177	0.0110646585637532
ENSMUSG00000000399.10	13.642413647467	0.0508082512722111	1.01222040362126	0.00222712931846935
ENSMUSG00000000402.2	5.24297978174055	0.132204816614768	0.901059792363617	0.0328764358679145
ENSMUSG00000000409.14	3.33619693740505	0.207765666585345	0.993090695239674	0.00243668124800145
ENSMUSG00000000416.16	2.50732650515685	0.276448711061101	0.980606403010186	0.00639363660883805
ENSMUSG00000000420.15	4.48918322703324	0.154403851548297	1.01194772254516	0.00670636042221515
ENSMUSG00000000439.9	3.55611014597905	0.194917241622478	0.989267910251097	0.00380604488279641
ENSMUSG00000000441.17	3.91017504729866	0.177267557634998	0.999531658793532	0.00267938521171332
ENSMUSG00000000486.13	11.2795737533271	0.0614515402548334	0.991798347680088	0.000661315948902652
ENSMUSG00000000489.7	1.06151047386442	0.652981951309957	1.02660442444354	0.0280248096310441
ENSMUSG00000000530.16	1.45616460465891	0.476008809953398	0.999614226317106	0.0173884233779429
ENSMUSG00000000531.5	1.42014570298055	0.48808173633536	0.986911538140174	0.00428947351578734
ENSMUSG00000000532.11	2.23769876536802	0.309758932385141	0.988212354433126	0.00311921032098193
ENSMUSG00000000538.18	3.24448119426009	0.213638834395531	0.971299870920937	0.00848455413620657
ENSMUSG00000000544.14	3.85405423640751	0.179848839181374	0.974056185117004	0.00470980616006966
ENSMUSG00000000552.10	2.22957020666536	0.310888250339802	0.996228853769225	0.00748656287013377
ENSMUSG00000000555.8	2.88037811134883	0.240644510465106	0.915303068564304	0.0279595556361447
ENSMUSG00000000561.14	6.87243276098194	0.100859070531075	0.981214279109486	0.00118907574579279
ENSMUSG00000000563.17	12.2658444669105	0.0565103513606293	1.01099976272012	0.00399408943472369
ENSMUSG00000000568.15	6.01035066814982	0.115325580624286	0.99180160729937	0.0035251791455357
ENSMUSG00000000579.14	7.21872152817413	0.096020767369214	0.935940461189939	0.0213592926802178
ENSMUSG00000000581.8	6.57536365518258	0.105415794001541	0.983588518423385	0.00932023781621367
ENSMUSG00000000594.7	11.0329928346577	0.0628249461363354	0.968768218420062	0.00461758047390943
ENSMUSG00000000600.15	3.35765296307975	0.20643800541083	1.02294169129142	0.00430779477294157
ENSMUSG00000000605.9	5.63166600729001	0.123080306904331	1.07163126662752	0.0134335588882271
ENSMUSG00000000627.15	6.82060268239511	0.101625503322317	0.936064770522785	0.016254544582409
ENSMUSG00000000628.10	2.26852503900717	0.305549715626372	0.97685245608788	0.00322841492636146
ENSMUSG00000000631.20	4.24424692381874	0.163314527406499	0.944119273128835	0.00855966271205041
ENSMUSG00000000708.14	5.11408591279321	0.135536866681491	0.95408689368058	0.0113693414295841
ENSMUSG00000000711.3	2.59190692109987	0.267427497074551	0.983148836441906	0.00591715803423885
ENSMUSG00000000730.13	10.6147389324963	0.065300445443639	0.961484799402153	0.00443894986164322
ENSMUSG00000000731.15	5.65813515004682	0.122504528820633	1.03119462600003	0.00669309995593908
ENSMUSG00000000732.9	6.675246558844	0.103838438692815	1.07163142679921	0.0125150084939471
ENSMUSG00000000738.18	8.0404974772172	0.0862070018085302	0.992536158783546	0.000517166633170714
ENSMUSG00000000739.14	8.08658548408357	0.0857156808549458	1.01608391967881	0.00472230289672375
ENSMUSG00000000740.12	16.8524532756059	0.0411303428185902	0.996170601136361	0.00349142996374359
ENSMUSG00000000743.9	7.08377413083746	0.0978499833220967	0.971156707249503	0.00408328791586575
ENSMUSG00000000751.13	10.9995924719603	0.0630157146573284	1.00952538838233	0.000589918848950037
ENSMUSG00000000759.14	3.77007540074548	0.183854991447355	1.0214535897838	0.00366987841516958
